Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,year
Trae Young,Oklahoma,32,32,35.4,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,10.56,2019
Josh Akognon,Cal State Fullerton,64,64,33.6,7.2,17,0.422,3.3,6.7,0.485,3.9,10.3,0.381,3.7,4.2,0.895,0.6,2.7,3.3,1.5,1.2,0.1,2.2,2.1,22,,2013
Stephen Curry,Davidson,104,103,32.6,8.4,17.9,0.467,4.4,8.3,0.53,4,9.7,0.412,4.6,5.3,0.876,0.8,3.8,4.5,3.7,2.1,0.3,3,2.4,25.3,-1.31,2010
Lester Hudson,UT-Martin,65,64,36.5,9.3,20.4,0.456,5.8,10.8,0.53,3.5,9.5,0.372,4.4,5.2,0.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,-5.64,2010
Gary Neal,Towson,49,46,36.1,8.3,18.6,0.446,5.1,9.8,0.523,3.2,8.8,0.36,5.9,7.2,0.823,0.8,3.3,4.1,3.3,1.6,0.2,2.7,2.3,25.6,,2011
Oliver Lafayette,Houston,64,63,34.4,4.9,13.6,0.359,2.4,5.8,0.409,2.5,7.8,0.322,2.7,3.8,0.725,1.3,3.7,5.1,2.5,2.9,0.2,2,2.8,15,2.54,2010
Jamal Murray,Kentucky,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,8.84,2017
Donte Greene,Syracuse,35,35,35.8,6.2,14.9,0.418,3.7,7.4,0.492,2.6,7.5,0.345,2.7,3.8,0.707,1.7,5.5,7.2,2,1.3,1.6,2.6,2.9,17.7,7.96,2009
Cam Reddish,Duke,36,35,29.7,4.3,12,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.97,2020
R.J. Hunter,Georgia State,99,98,34.7,5.6,13.3,0.423,3.1,6.1,0.505,2.6,7.2,0.354,4.5,5.3,0.853,0.7,4.1,4.8,2.4,1.9,0.9,1.7,2.2,18.4,-2.33,2016
John Jenkins,Vanderbilt,98,74,30.6,5.3,11.2,0.468,2.1,4.1,0.521,3.1,7.1,0.438,3.3,3.8,0.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,7.59,2013
Carsen Edwards,Purdue,108,94,29.4,5.9,14.2,0.412,3.3,7.2,0.455,2.6,7.1,0.368,3.4,4.2,0.817,0.4,3,3.4,2.5,1.2,0.2,2.2,1.9,17.8,9.84,2020
Bobby Brown,Cal State Fullerton,116,103,34.2,6,13.9,0.428,3.3,6.9,0.48,2.6,7,0.377,2.3,2.9,0.789,0.5,2,2.5,4.4,1.3,0.1,3.1,2.2,16.9,-2.5,2009
Zach Lofton,New Mexico State,33,31,31.9,6.6,14.4,0.456,3.9,7.5,0.526,2.6,6.9,0.38,4.3,5.6,0.772,1.1,3.9,5,1.7,1.1,0.1,2.2,2,20.1,,2019
Torrey Craig,USC Upstate,131,124,31,5.7,13.8,0.413,3.4,6.9,0.495,2.3,6.9,0.33,2.6,3.8,0.671,2.1,5.1,7.2,1.8,1.1,0.8,2.6,2.5,16.2,-2.98,2018
Malik Monk,Kentucky,38,37,32.1,6.6,14.7,0.45,3.9,7.8,0.497,2.7,6.9,0.397,3.9,4.7,0.822,0.3,2.2,2.5,2.3,0.9,0.5,2,1.9,19.8,10.49,2018
Kentavious Caldwell-Pope,Georgia,64,60,33,5.3,12.7,0.415,3,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,7.02,2014
Mike Taylor,Iowa State,31,30,35,5.3,14.2,0.376,2.8,7.3,0.391,2.5,6.9,0.36,2.8,4.2,0.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,2.9,16,5.19,2009
Buddy Hield,Oklahoma,132,118,31.7,5.9,13.2,0.448,3.3,6.5,0.508,2.6,6.8,0.39,2.8,3.4,0.836,1.6,3.4,5,1.9,1.3,0.3,2.2,2,17.4,9.28,2017
Dionte Christmas,Temple,130,98,29.6,5,11.8,0.426,2.6,5,0.516,2.5,6.8,0.36,3.2,4.2,0.778,1,3.4,4.4,2,1.2,0.2,2.2,2.2,15.7,3.89,2014
Andrew Goudelock,College of Charleston,140,124,32.8,6.8,14.9,0.457,4,8.1,0.494,2.8,6.8,0.413,1.9,2.2,0.838,0.6,2.7,3.3,3,0.9,0.3,2.2,1.5,18.4,-2.92,2012
