,2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
785,8.2,11.0,0.747,0.7,0.33799999999999997,2.2,2.1,1.8,5.4,9.0,13.2,0.68,3.9,6.2,0.64,33,33,30.0,3.5,2.1,22.6,Zion Williamson,11.97,2.1,Duke,2.4,8.9,2020,Forward,70.8,40.8,8.3
786,6.5,12.2,0.529,1.9,0.308,6.2,4.3,0.4,6.0,8.4,18.5,0.45399999999999996,3.9,5.9,0.665,38,38,35.3,1.6,1.8,22.6,RJ Barrett,11.97,0.9,Duke,3.2,7.6,2020,Forward,50.6,23.3,6.5
787,3.4,6.3,0.541,0.9,0.419,2.3,1.6,0.5,3.1,4.4,8.5,0.509,2.8,3.6,0.773,71,38,26.6,1.3,1.9,12.4,De'Andre Hunter,9.61,0.6,Virginia,1.2,4.4,2020,Guard,56.4,24.0,11.0
788,3.6,6.2,0.581,2.2,0.478,4.6,2.6,0.4,3.4,5.8,10.8,0.537,2.4,3.2,0.75,5,5,27.8,0.4,1.4,16.2,Darius Garland,7.79,0.8,Vanderbilt,3.0,3.8,2020,Guard,63.9,23.6,0.5
789,3.9,7.5,0.522,1.4,0.341,4.1,2.8,0.6,4.4,5.3,11.6,0.45899999999999996,2.9,4.2,0.687,75,58,29.5,1.2,2.0,14.9,Jarrett Culver,9.56,1.3,Texas Tech,2.1,5.6,2020,Guard,51.8,22.4,11.0
790,3.0,6.1,0.5,2.3,0.353,6.6,4.1,0.3,3.2,5.4,12.7,0.423,3.0,3.7,0.8,35,35,28.5,0.3,1.9,16.1,Coby White,11.35,1.1,UNC,2.7,3.5,2020,Guard,51.6,19.2,4.1
791,3.8,5.3,0.728,0.0,,0.0,0.3,2.2,3.3,3.8,5.3,0.728,2.3,3.1,0.74,32,21,23.3,1.8,3.3,10.0,Jaxson Hayes,11.46,0.6,Texas,0.9,5.0,2020,Forward,72.8,27.0,4.3
792,4.3,7.1,0.607,0.2,0.316,0.7,0.8,0.5,3.3,4.5,7.8,0.579,2.8,3.7,0.746,102,39,19.7,1.1,1.6,12.1,Rui Hachimura,3.91,0.6,Gonzaga,1.2,4.4,2020,Forward,59.4,27.0,12.4
793,1.8,4.6,0.39399999999999996,2.5,0.33299999999999996,7.4,1.9,0.6,3.1,4.3,12.0,0.35600000000000004,2.4,3.2,0.772,36,35,29.7,0.6,2.4,13.5,Cam Reddish,11.97,1.6,Duke,2.7,3.7,2020,Forward,45.9,13.6,3.0
794,3.7,8.0,0.465,0.0,0.33299999999999996,0.0,0.7,0.5,3.3,3.7,8.0,0.46399999999999997,2.6,4.3,0.611,118,79,19.9,2.1,3.2,10.1,Cameron Johnson,-4.62,0.9,Texas State,2.0,5.4,2020,Forward,46.5,,6.4
795,4.0,7.3,0.547,0.5,0.384,1.4,1.7,1.0,4.5,4.5,8.7,0.521,3.4,5.4,0.632,72,63,28.3,2.1,2.6,12.9,PJ Washington,10.51,0.8,Kentucky,1.9,6.6,2020,Forward,55.1,21.9,9.1
796,3.4,6.3,0.5379999999999999,1.6,0.355,4.6,2.5,0.3,4.1,5.0,10.9,0.462,2.4,2.5,0.935,37,37,32.6,0.4,1.3,14.0,Tyler Herro,10.29,1.1,Kentucky,1.6,4.5,2020,Guard,53.6,19.4,5.4
