2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year
2.4,5.1,.467,2.5,.394,6.2,5.4,0.2,2.8,4.8,11.3,.427,5.3,6.3,.838,110,108,36.3,0.5,,17.4,Jaylen Adams,1.82,1.5,St. Bonaventure,2.9,3.4,2019
2.8,5.7,.489,1.1,.348,3.3,2.0,0.3,3.5,3.9,9.0,.438,2.2,2.9,.776,89,71,26.8,0.6,,11.2,Deng Adel,9.32,0.5,Louisville,1.7,4.1,2019
3.8,8.0,.472,0.8,.301,2.7,1.6,0.3,3.6,4.6,10.7,.428,3.5,4.7,.739,60,48,27.2,1.7,,13.5,DeVaughn Akoon-Purcell,2.73,1.0,Illinois State,2.3,5.3,2019
2.8,5.5,.505,1.3,.365,3.5,2.2,0.6,3.2,4.0,9.0,.450,2.4,3.3,.729,60,57,29.3,1.7,,11.8,Rawle Alkins,7.24,1.0,Arizona,2.1,4.9,2019
2.2,4.5,.490,2.0,.380,5.4,3.0,0.1,2.6,4.3,9.9,.430,3.5,4.2,.834,142,97,27.9,0.5,,14.1,Grayson Allen,10.27,1.0,Duke,1.7,3.2,2019
1.9,3.0,.651,0.1,.133,0.5,0.4,1.1,2.0,2.0,3.5,.574,1.1,2.2,.516,29,6,15.1,0.8,,5.2,Kostas Antetokounmpo,2.70,0.2,Dayton,1.3,2.9,2019
7.5,11.9,.635,0.3,.343,1.0,1.6,1.9,8.2,7.9,12.9,.612,4.0,5.5,.733,35,35,33.5,3.4,,20.1,Deandre Ayton,6.84,0.6,Arizona,2.0,11.6,2019
4.4,7.3,.603,0.5,.275,1.7,0.5,3.7,7.3,4.9,9.0,.541,2.7,4.0,.681,30,29,30.2,3.2,,12.9,Mohamed Bamba,10.67,0.8,Texas,1.5,10.5,2019
3.2,5.9,.537,1.1,.352,3.2,1.1,1.2,4.6,4.3,9.1,.472,1.9,2.5,.776,109,70,24.8,1.1,,11.7,Keita Bates-Diop,7.69,0.6,Ohio State,1.2,5.7,2019
4.1,7.7,.541,0.8,.316,2.4,1.1,0.7,4.6,4.9,10.0,.488,3.0,4.1,.724,128,125,30.7,1.9,,13.5,Jaron Blossomgame,7.50,0.6,Clemson,1.5,6.5,2019
1.4,2.8,.483,0.3,.250,1.2,1.1,0.9,3.7,1.6,4.0,.415,1.1,1.5,.733,31,11,21.7,1.2,,4.6,Jonah Bolden,9.69,0.7,UCLA,0.8,4.8,2019
2.5,3.8,.645,1.5,.400,3.7,1.6,0.9,3.2,3.9,7.5,.525,1.9,2.3,.845,116,73,27.3,1.1,,11.3,Mikal Bridges,9.74,1.4,Villanova,1.1,4.3,2019
4.2,7.8,.537,2.0,.375,5.5,2.4,1.1,6.2,6.2,13.2,.470,2.5,3.2,.776,62,60,31.6,1.4,,17.0,Miles Bridges,8.80,0.6,Michigan State,2.1,7.6,2019
3.9,7.9,.495,0.3,.229,1.4,3.7,0.2,3.9,4.2,9.3,.455,2.2,3.9,.555,70,69,31.3,1.5,,10.9,Isaiah Briscoe,9.67,0.9,Kentucky,2.2,5.4,2019
1.9,3.6,.536,1.9,.408,4.6,1.8,0.7,4.9,3.8,8.2,.464,2.4,2.9,.818,134,107,27.2,1.4,,11.9,Ryan Broekhoff,0.23,1.0,Valparaiso,1.4,6.3,2019
3.7,6.2,.602,0.0,,0.0,0.4,1.2,3.2,3.7,6.2,.602,1.5,3.2,.470,114,75,20.4,1.8,,9.0,Bruce Brown,-10.69,0.2,Hampton,1.8,5.0,2019
2.2,4.6,.478,0.1,.522,0.2,0.3,0.5,,2.3,4.8,.480,1.3,1.8,.688,118,,14.4,,,5.9,Troy Brown,7.58,0.3,Providence,,4.2,2019
3.5,5.9,.587,1.5,.393,3.9,3.7,0.0,2.1,5.0,9.8,.510,2.9,3.5,.820,116,115,28.9,0.4,,14.4,Jalen Brunson,9.74,0.8,Villanova,1.9,2.5,2019
3.6,7.2,.498,1.4,.337,4.2,4.0,0.4,2.5,5.0,11.4,.439,4.8,6.4,.751,130,128,33.8,0.4,,16.2,Deonte Burton,2.59,1.3,Nevada,2.2,2.9,2019
2.4,5.3,.453,1.7,.355,4.7,3.9,0.2,2.8,4.1,10.0,.407,2.4,3.0,.798,144,112,29.9,0.9,,12.2,Jevon Carter,9.53,2.3,West Virginia,1.8,3.7,2019
1.0,2.1,.500,0.0,.667,0.1,0.2,0.4,,1.1,2.1,.505,0.3,0.9,.364,48,,,,,2.5,Wendell Carter,6.62,0.4,Texas,,1.8,2019
2.0,4.6,.438,1.1,.338,3.3,3.8,0.2,3.1,3.2,8.0,.397,2.2,2.8,.762,137,102,29.1,0.5,,9.6,Troy Caupain,5.10,1.1,Cincinnati,1.6,3.6,2019
2.7,6.2,.440,1.4,.347,4.0,3.1,0.1,3.0,4.1,10.2,.404,4.5,5.6,.805,129,109,31.1,0.5,,14.2,Joe Chealey,-1.66,0.9,College of Charleston,1.9,3.5,2019
1.5,3.5,.445,0.9,.327,2.9,4.1,0.1,2.8,2.5,6.3,.391,1.5,2.0,.747,139,65,25.1,0.4,,7.4,Chris Chiozza,9.99,1.4,Florida,1.6,3.2,2019
1.0,2.2,.465,0.8,.434,1.8,0.7,0.1,0.9,1.8,4.0,.451,0.7,1.0,.752,109,26,13.9,0.3,,5.1,Gary Clark,7.64,0.6,Wake Forest,0.8,1.1,2019
4.5,8.1,.552,0.4,.350,1.1,1.0,1.2,5.1,4.9,9.2,.528,2.9,3.8,.772,125,82,25.1,2.1,,13.1,Bonzie Colson,8.58,1.0,Notre Dame,1.0,7.2,2019
0.2,0.7,.357,0.1,.231,0.6,0.2,0.1,0.4,0.4,1.3,.296,0.5,0.8,.629,43,0,3.4,0.2,,1.4,Tyler Davis,-6.17,0.2,Dartmouth,0.3,0.6,2019
4.9,9.0,.541,0.0,.000,0.0,1.7,0.8,7.1,4.9,9.1,.538,2.3,4.3,.539,132,130,30.6,3.9,,12.1,Angel Delgado,8.80,0.6,Seton Hall,2.2,11.0,2019
2.0,3.9,.513,1.3,.397,3.3,1.4,0.6,4.0,3.3,7.2,.459,2.4,2.8,.856,89,73,25.7,1.7,,10.3,Marcus Derrickson,7.70,0.5,Georgetown,1.7,5.6,2019
2.9,6.4,.458,0.7,.338,2.1,1.2,0.4,2.8,3.6,8.5,.428,2.1,3.4,.616,37,37,24.8,0.9,,10.0,Hamidou Diallo,10.73,0.8,Kentucky,1.4,3.6,2019
2.0,3.6,.573,1.5,.378,4.0,2.4,0.2,2.9,3.6,7.6,.469,1.6,2.2,.705,85,12,25.4,1.1,,10.2,Donte DiVincenzo,9.74,0.9,Villanova,1.6,4.0,2019
3.2,6.5,.490,0.8,.290,2.9,5.6,0.1,1.4,4.0,9.4,.428,1.4,2.4,.596,37,34,29.8,0.5,,10.3,Trevon Duval,9.71,1.5,Duke,2.8,2.0,2019
0.6,1.5,.416,0.0,.000,0.1,1.0,0.1,,0.6,1.5,.390,0.2,0.5,.423,53,,,,,1.4,Vince Edwards,,0.3,Western Kentucky,,1.0,2019
4.7,7.8,.598,0.0,,0.0,0.9,1.7,4.6,4.7,7.8,.598,2.4,3.5,.693,96,94,28.3,1.9,,11.7,Drew Eubanks,6.57,0.5,Oregon State,2.0,6.6,2019
2.4,5.0,.476,1.7,.377,4.4,2.5,0.9,3.0,4.0,9.4,.429,2.0,2.7,.755,105,80,29.1,1.3,,11.7,Jacob Evans,4.75,1.1,Cincinnati,1.3,4.3,2019
3.0,5.2,.572,0.9,.312,2.8,1.7,0.5,3.2,3.8,7.9,.481,2.1,3.2,.653,94,69,27.7,1.2,,10.6,Melvin Frazier,3.37,1.6,Tulane,2.0,4.4,2019
2.6,6.1,.423,1.1,.323,3.5,3.5,0.2,2.4,3.7,9.6,.386,4.5,5.4,.841,125,119,29.2,0.3,,13.1,Billy Garrett,7.77,0.9,DePaul,2.6,2.7,2019
1.7,3.0,.577,0.0,,0.0,0.3,0.7,2.3,1.7,3.0,.577,0.5,0.9,.500,26,6,11.5,1.6,,3.9,Harry Giles,10.91,0.3,Duke,0.7,3.8,2019
