Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
Jaylen Adams,St. Bonaventure,110,108,36.3,4.8,11.3,.427,2.4,5.1,.467,2.5,6.2,.394,5.3,6.3,.838,0.5,2.8,3.4,5.4,1.5,0.2,2.9,17.4,1.82
Deng Adel,Louisville,89,71,26.8,3.9,9.0,.438,2.8,5.7,.489,1.1,3.3,.348,2.2,2.9,.776,0.6,3.5,4.1,2.0,0.5,0.3,1.7,11.2,9.32
DeVaughn Akoon-Purcell,Illinois State,60,48,27.2,4.6,10.7,.428,3.8,8.0,.472,0.8,2.7,.301,3.5,4.7,.739,1.7,3.6,5.3,1.6,1.0,0.3,2.3,13.5,2.73
Rawle Alkins,Arizona,60,57,29.3,4.0,9.0,.450,2.8,5.5,.505,1.3,3.5,.365,2.4,3.3,.729,1.7,3.2,4.9,2.2,1.0,0.6,2.1,11.8,7.24
Grayson Allen,Duke,142,97,27.9,4.3,9.9,.430,2.2,4.5,.490,2.0,5.4,.380,3.5,4.2,.834,0.5,2.6,3.2,3.0,1.0,0.1,1.7,14.1,10.27
Kostas Antetokounmpo,Dayton,29,6,15.1,2.0,3.5,.574,1.9,3.0,.651,0.1,0.5,.133,1.1,2.2,.516,0.8,2.0,2.9,0.4,0.2,1.1,1.3,5.2,2.70
Deandre Ayton,Arizona,35,35,33.5,7.9,12.9,.612,7.5,11.9,.635,0.3,1.0,.343,4.0,5.5,.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,20.1,6.84
Mohamed Bamba,Texas,30,29,30.2,4.9,9.0,.541,4.4,7.3,.603,0.5,1.7,.275,2.7,4.0,.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,12.9,10.67
Keita Bates-Diop,Ohio State,109,70,24.8,4.3,9.1,.472,3.2,5.9,.537,1.1,3.2,.352,1.9,2.5,.776,1.1,4.6,5.7,1.1,0.6,1.2,1.2,11.7,7.69
Jaron Blossomgame,Clemson,128,125,30.7,4.9,10.0,.488,4.1,7.7,.541,0.8,2.4,.316,3.0,4.1,.724,1.9,4.6,6.5,1.1,0.6,0.7,1.5,13.5,7.50
Jonah Bolden,UCLA,31,11,21.7,1.6,4.0,.415,1.4,2.8,.483,0.3,1.2,.250,1.1,1.5,.733,1.2,3.7,4.8,1.1,0.7,0.9,0.8,4.6,9.69
Mikal Bridges,Villanova,116,73,27.3,3.9,7.5,.525,2.5,3.8,.645,1.5,3.7,.400,1.9,2.3,.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,11.3,9.74
Miles Bridges,Michigan State,62,60,31.6,6.2,13.2,.470,4.2,7.8,.537,2.0,5.5,.375,2.5,3.2,.776,1.4,6.2,7.6,2.4,0.6,1.1,2.1,17.0,8.80
Isaiah Briscoe,Kentucky,70,69,31.3,4.2,9.3,.455,3.9,7.9,.495,0.3,1.4,.229,2.2,3.9,.555,1.5,3.9,5.4,3.7,0.9,0.2,2.2,10.9,9.67
Ryan Broekhoff,Valparaiso,134,107,27.2,3.8,8.2,.464,1.9,3.6,.536,1.9,4.6,.408,2.4,2.9,.818,1.4,4.9,6.3,1.8,1.0,0.7,1.4,11.9,0.23
Bruce Brown,Hampton,114,75,20.4,3.7,6.2,.602,3.7,6.2,.602,0.0,0.0,,1.5,3.2,.470,1.8,3.2,5.0,0.4,0.2,1.2,1.8,9.0,-10.69
Troy Brown,Providence,118,,14.4,2.3,4.8,.480,2.2,4.6,.478,0.1,0.2,.522,1.3,1.8,.688,,,4.2,0.3,0.3,0.5,,5.9,7.58
Jalen Brunson,Villanova,116,115,28.9,5.0,9.8,.510,3.5,5.9,.587,1.5,3.9,.393,2.9,3.5,.820,0.4,2.1,2.5,3.7,0.8,0.0,1.9,14.4,9.74
Deonte Burton,Nevada,130,128,33.8,5.0,11.4,.439,3.6,7.2,.498,1.4,4.2,.337,4.8,6.4,.751,0.4,2.5,2.9,4.0,1.3,0.4,2.2,16.2,2.59
Jevon Carter,West Virginia,144,112,29.9,4.1,10.0,.407,2.4,5.3,.453,1.7,4.7,.355,2.4,3.0,.798,0.9,2.8,3.7,3.9,2.3,0.2,1.8,12.2,9.53
Wendell Carter,Texas,48,,,1.1,2.1,.505,1.0,2.1,.500,0.0,0.1,.667,0.3,0.9,.364,,,1.8,0.2,0.4,0.4,,2.5,6.62
Troy Caupain,Cincinnati,137,102,29.1,3.2,8.0,.397,2.0,4.6,.438,1.1,3.3,.338,2.2,2.8,.762,0.5,3.1,3.6,3.8,1.1,0.2,1.6,9.6,5.10
Joe Chealey,College of Charleston,129,109,31.1,4.1,10.2,.404,2.7,6.2,.440,1.4,4.0,.347,4.5,5.6,.805,0.5,3.0,3.5,3.1,0.9,0.1,1.9,14.2,-1.66
Chris Chiozza,Florida,139,65,25.1,2.5,6.3,.391,1.5,3.5,.445,0.9,2.9,.327,1.5,2.0,.747,0.4,2.8,3.2,4.1,1.4,0.1,1.6,7.4,9.99
Gary Clark,Wake Forest,109,26,13.9,1.8,4.0,.451,1.0,2.2,.465,0.8,1.8,.434,0.7,1.0,.752,0.3,0.9,1.1,0.7,0.6,0.1,0.8,5.1,7.64
Bonzie Colson,Notre Dame,125,82,25.1,4.9,9.2,.528,4.5,8.1,.552,0.4,1.1,.350,2.9,3.8,.772,2.1,5.1,7.2,1.0,1.0,1.2,1.0,13.1,8.58
Tyler Davis,Dartmouth,43,0,3.4,0.4,1.3,.296,0.2,0.7,.357,0.1,0.6,.231,0.5,0.8,.629,0.2,0.4,0.6,0.2,0.2,0.1,0.3,1.4,-6.17
Angel Delgado,Seton Hall,132,130,30.6,4.9,9.1,.538,4.9,9.0,.541,0.0,0.0,.000,2.3,4.3,.539,3.9,7.1,11.0,1.7,0.6,0.8,2.2,12.1,8.80
Marcus Derrickson,Georgetown,89,73,25.7,3.3,7.2,.459,2.0,3.9,.513,1.3,3.3,.397,2.4,2.8,.856,1.7,4.0,5.6,1.4,0.5,0.6,1.7,10.3,7.70
Hamidou Diallo,Kentucky,37,37,24.8,3.6,8.5,.428,2.9,6.4,.458,0.7,2.1,.338,2.1,3.4,.616,0.9,2.8,3.6,1.2,0.8,0.4,1.4,10.0,10.73
Donte DiVincenzo,Villanova,85,12,25.4,3.6,7.6,.469,2.0,3.6,.573,1.5,4.0,.378,1.6,2.2,.705,1.1,2.9,4.0,2.4,0.9,0.2,1.6,10.2,9.74
Trevon Duval,Duke,37,34,29.8,4.0,9.4,.428,3.2,6.5,.490,0.8,2.9,.290,1.4,2.4,.596,0.5,1.4,2.0,5.6,1.5,0.1,2.8,10.3,9.71
Vince Edwards,Western Kentucky,53,,,0.6,1.5,.390,0.6,1.5,.416,0.0,0.1,.000,0.2,0.5,.423,,,1.0,1.0,0.3,0.1,,1.4,
Drew Eubanks,Oregon State,96,94,28.3,4.7,7.8,.598,4.7,7.8,.598,0.0,0.0,,2.4,3.5,.693,1.9,4.6,6.6,0.9,0.5,1.7,2.0,11.7,6.57
Jacob Evans,Cincinnati,105,80,29.1,4.0,9.4,.429,2.4,5.0,.476,1.7,4.4,.377,2.0,2.7,.755,1.3,3.0,4.3,2.5,1.1,0.9,1.3,11.7,4.75
Melvin Frazier,Tulane,94,69,27.7,3.8,7.9,.481,3.0,5.2,.572,0.9,2.8,.312,2.1,3.2,.653,1.2,3.2,4.4,1.7,1.6,0.5,2.0,10.6,3.37
Billy Garrett,DePaul,125,119,29.2,3.7,9.6,.386,2.6,6.1,.423,1.1,3.5,.323,4.5,5.4,.841,0.3,2.4,2.7,3.5,0.9,0.2,2.6,13.1,7.77
Harry Giles,Duke,26,6,11.5,1.7,3.0,.577,1.7,3.0,.577,0.0,0.0,,0.5,0.9,.500,1.6,2.3,3.8,0.3,0.3,0.7,0.7,3.9,10.91
Shai Gilgeous-Alexander,Kentucky,37,24,33.7,4.9,10.2,.485,4.3,8.6,.500,0.6,1.5,.404,3.9,4.7,.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,14.4,10.73
Brandon Goodwin,Florida Gulf Coast,68,67,32.5,6.5,13.3,.490,5.1,8.7,.582,1.4,4.5,.314,4.1,5.4,.769,1.0,4.1,5.0,4.4,1.3,0.1,2.5,18.5,
Devonte' Graham,Kansas,142,111,31.7,3.8,9.1,.422,1.8,4.0,.437,2.1,5.1,.409,2.5,3.2,.787,0.4,2.7,3.1,4.5,1.4,0.1,1.9,12.3,11.86
Donte Grantham,Clemson,114,113,30.2,3.5,8.5,.414,2.1,4.3,.494,1.4,4.2,.333,1.2,1.6,.726,1.4,3.4,4.8,1.9,0.9,0.7,1.5,9.6,8.32
Dusty Hannahs,Arkansas,68,43,25.8,5.0,11.2,.448,2.8,5.7,.486,2.3,5.6,.410,3.1,3.4,.889,0.6,1.5,2.0,1.1,0.5,0.1,1.5,15.4,
Aaron Holiday,UCLA,101,65,31.8,4.7,10.5,.450,2.9,6.2,.469,1.8,4.2,.422,3.1,3.9,.795,0.5,2.7,3.2,4.7,1.2,0.2,3.0,14.3,7.65
Kevin Huerter,Maryland,65,65,31.9,4.2,9.0,.466,2.1,3.6,.572,2.1,5.4,.394,1.5,2.0,.748,0.8,4.2,5.0,3.0,0.8,0.7,1.9,12.0,8.11
