Player,School,G,FGP,3P%,FTP,TRB,AST,STL,BLK,TOV,PTS
Jaylen Adams,St. Bonaventure,110,.427,.394,.838,3.4,5.4,1.5,0.2,2.9,17.4
Deng Adel,Louisville,89,.438,.348,.776,4.1,2.0,0.5,0.3,1.7,11.2
DeVaughn Akoon-Purcell,Illinois State,60,.428,.301,.739,5.3,1.6,1.0,0.3,2.3,13.5
Rawle Alkins,Arizona,60,.450,.365,.729,4.9,2.2,1.0,0.6,2.1,11.8
Grayson Allen,Duke,142,.430,.380,.834,3.2,3.0,1.0,0.1,1.7,14.1
Kostas Antetokounmpo,Dayton,29,.574,.133,.516,2.9,0.4,0.2,1.1,1.3,5.2
Deandre Ayton,Arizona,35,.612,.343,.733,11.6,1.6,0.6,1.9,2.0,20.1
Mohamed Bamba,Texas,30,.541,.275,.681,10.5,0.5,0.8,3.7,1.5,12.9
Keita Bates-Diop,Ohio State,109,.472,.352,.776,5.7,1.1,0.6,1.2,1.2,11.7
Jaron Blossomgame,Clemson,128,.488,.316,.724,6.5,1.1,0.6,0.7,1.5,13.5
Jonah Bolden,UCLA,31,.415,.250,.733,4.8,1.1,0.7,0.9,0.8,4.6
Mikal Bridges,Villanova,116,.525,.400,.845,4.3,1.6,1.4,0.9,1.1,11.3
Miles Bridges,Michigan State,62,.470,.375,.776,7.6,2.4,0.6,1.1,2.1,17.0
Isaiah Briscoe,Kentucky,70,.455,.229,.555,5.4,3.7,0.9,0.2,2.2,10.9
Ryan Broekhoff,Valparaiso,134,.464,.408,.818,6.3,1.8,1.0,0.7,1.4,11.9
Bruce Brown,Hampton,114,.602,,.470,5.0,0.4,0.2,1.2,1.8,9.0
Troy Brown,Providence,118,.480,.522,.688,4.2,0.3,0.3,0.5,,5.9
Jalen Brunson,Villanova,116,.510,.393,.820,2.5,3.7,0.8,0.0,1.9,14.4
Deonte Burton,Nevada,130,.439,.337,.751,2.9,4.0,1.3,0.4,2.2,16.2
Jevon Carter,West Virginia,144,.407,.355,.798,3.7,3.9,2.3,0.2,1.8,12.2
Wendell Carter,Texas,48,.505,.667,.364,1.8,0.2,0.4,0.4,,2.5
Troy Caupain,Cincinnati,137,.397,.338,.762,3.6,3.8,1.1,0.2,1.6,9.6
Joe Chealey,College of Charleston,129,.404,.347,.805,3.5,3.1,0.9,0.1,1.9,14.2
Chris Chiozza,Florida,139,.391,.327,.747,3.2,4.1,1.4,0.1,1.6,7.4
Gary Clark,Wake Forest,109,.451,.434,.752,1.1,0.7,0.6,0.1,0.8,5.1
Bonzie Colson,Notre Dame,125,.528,.350,.772,7.2,1.0,1.0,1.2,1.0,13.1
Tyler Davis,Dartmouth,43,.296,.231,.629,0.6,0.2,0.2,0.1,0.3,1.4
Marcus Derrickson,Georgetown,89,.459,.397,.856,5.6,1.4,0.5,0.6,1.7,10.3
Hamidou Diallo,Kentucky,37,.428,.338,.616,3.6,1.2,0.8,0.4,1.4,10.0
Donte DiVincenzo,Villanova,85,.469,.378,.705,4.0,2.4,0.9,0.2,1.6,10.2
Trevon Duval,Duke,37,.428,.290,.596,2.0,5.6,1.5,0.1,2.8,10.3
Vince Edwards,Western Kentucky,53,.390,.000,.423,1.0,1.0,0.3,0.1,,1.4
Drew Eubanks,Oregon State,96,.598,,.693,6.6,0.9,0.5,1.7,2.0,11.7
Jacob Evans,Cincinnati,105,.429,.377,.755,4.3,2.5,1.1,0.9,1.3,11.7
Melvin Frazier,Tulane,94,.481,.312,.653,4.4,1.7,1.6,0.5,2.0,10.6
Billy Garrett,DePaul,125,.386,.323,.841,2.7,3.5,0.9,0.2,2.6,13.1
Harry Giles,Duke,26,.577,,.500,3.8,0.3,0.3,0.7,0.7,3.9
Shai Gilgeous-Alexander,Kentucky,37,.485,.404,.817,4.1,5.1,1.6,0.5,2.7,14.4
Brandon Goodwin,Florida Gulf Coast,68,.490,.314,.769,5.0,4.4,1.3,0.1,2.5,18.5
Devonte' Graham,Kansas,142,.422,.409,.787,3.1,4.5,1.4,0.1,1.9,12.3
Donte Grantham,Clemson,114,.414,.333,.726,4.8,1.9,0.9,0.7,1.5,9.6
Dusty Hannahs,Arkansas,68,.448,.410,.889,2.0,1.1,0.5,0.1,1.5,15.4
Aaron Holiday,UCLA,101,.450,.422,.795,3.2,4.7,1.2,0.2,3.0,14.3
Kevin Huerter,Maryland,65,.466,.394,.748,5.0,3.0,0.8,0.7,1.9,12.0
Isaac Humphries,Kentucky,61,.473,,.650,2.7,0.2,0.2,0.6,0.4,2.4
Chandler Hutchison,Boise State,123,.476,.353,.687,5.5,2.1,1.0,0.2,1.9,12.0
Frank Jackson,Georgia Southern,52,.472,,.550,4.3,0.3,0.2,1.0,,5.0
Jaren Jackson,Georgetown,130,.444,.365,.709,2.9,1.2,1.0,0.2,1.3,7.5
Amile Jefferson,Duke,150,.620,,.575,6.3,0.9,0.6,0.9,0.9,7.2
Alize Johnson,Missouri State,66,.457,.325,.716,11.1,2.4,0.5,0.3,2.3,14.9
B.J. Johnson,Villanova,29,.188,.000,.692,0.4,0.1,0.3,0.0,0.3,0.5
