2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
2.4,5.1,0.467,2.5,0.39399999999999996,6.2,5.4,0.2,2.8,4.8,11.3,0.42700000000000005,5.3,6.3,0.838,110,108.0,36.3,0.5,17.4,Jaylen Adams,1.82,1.5,St. Bonaventure,2.9,3.4,2019,Guard,53.5,21.5,17.7
2.8,5.7,0.489,1.1,0.348,3.3,2.0,0.3,3.5,3.9,9.0,0.43799999999999994,2.2,2.9,0.7759999999999999,89,71.0,26.8,0.6,11.2,Deng Adel,9.32,0.5,Louisville,1.7,4.1,2019,Forward,50.1,16.2,8.0
3.8,8.0,0.47200000000000003,0.8,0.301,2.7,1.6,0.3,3.6,4.6,10.7,0.428,3.5,4.7,0.7390000000000001,60,48.0,27.2,1.7,13.5,DeVaughn Akoon-Purcell,2.73,1.0,Illinois State,2.3,5.3,2019,Guard,46.7,19.7,5.7
2.8,5.5,0.505,1.3,0.365,3.5,2.2,0.6,3.2,4.0,9.0,0.45,2.4,3.3,0.7290000000000001,60,57.0,29.3,1.7,11.8,Rawle Alkins,7.24,1.0,Arizona,2.1,4.9,2019,Guard,52.1,18.0,6.3
2.2,4.5,0.49,2.0,0.38,5.4,3.0,0.1,2.6,4.3,9.9,0.43,3.5,4.2,0.8340000000000001,142,97.0,27.9,0.5,14.1,Grayson Allen,10.27,1.0,Duke,1.7,3.2,2019,Guard,53.3,21.4,18.8
1.9,3.0,0.6509999999999999,0.1,0.133,0.5,0.4,1.1,2.0,2.0,3.5,0.574,1.1,2.2,0.516,29,6.0,15.1,0.8,5.2,Kostas Antetokounmpo,2.7,0.2,Dayton,1.3,2.9,2019,Forward,58.4,13.7,0.7
7.5,11.9,0.635,0.3,0.34299999999999997,1.0,1.6,1.9,8.2,7.9,12.9,0.612,4.0,5.5,0.733,35,35.0,33.5,3.4,20.1,Deandre Ayton,6.84,0.6,Arizona,2.0,11.6,2019,Forward,62.5,32.6,7.6
4.4,7.3,0.603,0.5,0.275,1.7,0.5,3.7,7.3,4.9,9.0,0.541,2.7,4.0,0.6809999999999999,30,29.0,30.2,3.2,12.9,Mohamed Bamba,10.67,0.8,Texas,1.5,10.5,2019,Forward,56.7,28.3,4.8
3.2,5.9,0.537,1.1,0.35200000000000004,3.2,1.1,1.2,4.6,4.3,9.1,0.47200000000000003,1.9,2.5,0.7759999999999999,109,70.0,24.8,1.1,11.7,Keita Bates-Diop,7.69,0.6,Ohio State,1.2,5.7,2019,Forward,53.4,22.5,12.0
4.1,7.7,0.541,0.8,0.316,2.4,1.1,0.7,4.6,4.9,10.0,0.488,3.0,4.1,0.7240000000000001,128,125.0,30.7,1.9,13.5,Jaron Blossomgame,7.5,0.6,Clemson,1.5,6.5,2019,Forward,52.5,21.6,16.0
1.4,2.8,0.483,0.3,0.25,1.2,1.1,0.9,3.7,1.6,4.0,0.415,1.1,1.5,0.733,31,11.0,21.7,1.2,4.6,Jonah Bolden,9.69,0.7,UCLA,0.8,4.8,2019,Forward,45.1,12.4,1.4
2.5,3.8,0.645,1.5,0.4,3.7,1.6,0.9,3.2,3.9,7.5,0.525,1.9,2.3,0.845,116,73.0,27.3,1.1,11.3,Mikal Bridges,9.74,1.4,Villanova,1.1,4.3,2019,Guard-Forward,62.3,22.7,17.2
4.2,7.8,0.537,2.0,0.375,5.5,2.4,1.1,6.2,6.2,13.2,0.47,2.5,3.2,0.7759999999999999,62,60.0,31.6,1.4,17.0,Miles Bridges,8.8,0.6,Michigan State,2.1,7.6,2019,Guard,54.8,22.8,9.1
3.9,7.9,0.495,0.3,0.22899999999999998,1.4,3.7,0.2,3.9,4.2,9.3,0.455,2.2,3.9,0.555,70,69.0,31.3,1.5,10.9,Isaiah Briscoe,9.67,0.9,Kentucky,2.2,5.4,2019,Guard,47.2,14.3,6.3
1.9,3.6,0.536,1.9,0.408,4.6,1.8,0.7,4.9,3.8,8.2,0.46399999999999997,2.4,2.9,0.818,134,107.0,27.2,1.4,11.9,Ryan Broekhoff,0.23,1.0,Valparaiso,1.4,6.3,2019,Guard,57.8,24.2,18.6
3.7,6.2,0.602,0.0,0.332212160413972,0.0,0.4,1.2,3.2,3.7,6.2,0.602,1.5,3.2,0.47,114,75.0,20.4,1.8,9.0,Bruce Brown,-10.69,0.2,Hampton,1.8,5.0,2019,Center,60.2,13.8,13.8
2.2,4.6,0.478,0.1,0.522,0.2,0.3,0.5,3.6878940731399776,2.3,4.8,0.48,1.3,1.8,0.688,118,69.2525,14.4,1.5229508196721295,5.9,Troy Brown,7.58,0.3,Providence,1.88366583541147,4.2,2019,Center-Forward,52.170609756097626,16.803262411347497,10.295255474452556
3.5,5.9,0.5870000000000001,1.5,0.39299999999999996,3.9,3.7,0.0,2.1,5.0,9.8,0.51,2.9,3.5,0.82,116,115.0,28.9,0.4,14.4,Jalen Brunson,9.74,0.8,Villanova,1.9,2.5,2019,Guard,58.8,22.1,17.3
3.6,7.2,0.498,1.4,0.337,4.2,4.0,0.4,2.5,5.0,11.4,0.439,4.8,6.4,0.7509999999999999,130,128.0,33.8,0.4,16.2,Deonte Burton,2.59,1.3,Nevada,2.2,2.9,2019,Guard,50.1,21.7,17.2
2.4,5.3,0.45299999999999996,1.7,0.355,4.7,3.9,0.2,2.8,4.1,10.0,0.40700000000000003,2.4,3.0,0.7979999999999999,144,112.0,29.9,0.9,12.2,Jevon Carter,9.53,2.3,West Virginia,1.8,3.7,2019,Guard,49.1,19.9,19.8
1.0,2.1,0.5,0.0,0.667,0.1,0.2,0.4,3.6878940731399776,1.1,2.1,0.505,0.3,0.9,0.364,48,69.2525,27.273750000000003,1.5229508196721295,2.5,Wendell Carter,6.62,0.4,Texas,1.88366583541147,1.8,2019,Forward,51.5,1.2,1.2
2.0,4.6,0.43799999999999994,1.1,0.33799999999999997,3.3,3.8,0.2,3.1,3.2,8.0,0.397,2.2,2.8,0.762,137,102.0,29.1,0.5,9.6,Troy Caupain,5.1,1.1,Cincinnati,1.6,3.6,2019,Guard,46.7,16.9,15.7
2.7,6.2,0.44,1.4,0.34700000000000003,4.0,3.1,0.1,3.0,4.1,10.2,0.40399999999999997,4.5,5.6,0.805,129,109.0,31.1,0.5,14.2,Joe Chealey,-1.66,0.9,College of Charleston,1.9,3.5,2019,Guard,47.2,19.4,15.2
1.5,3.5,0.445,0.9,0.327,2.9,4.1,0.1,2.8,2.5,6.3,0.391,1.5,2.0,0.747,139,65.0,25.1,0.4,7.4,Chris Chiozza,9.99,1.4,Florida,1.6,3.2,2019,Guard,46.5,15.7,11.8
1.0,2.2,0.465,0.8,0.434,1.8,0.7,0.1,0.9,1.8,4.0,0.451,0.7,1.0,0.752,109,26.0,13.9,0.3,5.1,Gary Clark,7.64,0.6,Wake Forest,0.8,1.1,2019,Guard,54.8,16.803262411347497,3.2
