2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
0,0.3,0,0,0.33221216,0,0,0,0.2,0,0.3,0,0,0.3,0,6,3,1.3,0.3,0,Justin Jackson,8.12,0,Tennessee,0,0.5,2018,Guard,0,-0.1,-0.1
0.7,1.2,0.556,0.6,0.375,1.6,0.3,0,1,1.3,2.8,0.452,0,0.3,0,15,1,10.1,0.6,3.1,Joe Harris,-4.83,0.2,Central Arkansas,0.4,1.6,2015,Forward,56,11.9,0.2
0,0,0.511827879,0,0,0.1,0.1,0,0,0,0.1,0,0,0.2,0,9,0,1.1,0,0,Kevin Jones,3.24,0,Bradley,0,0,2013,Guard,0,0,0
4.6,8.5,0.541,0,0,0.1,0.4,2.7,4.2,4.6,8.6,0.538,0.8,2.6,0.295,34,30,28.4,3.4,10,Andre Drummond,8.07,0.8,UConn,1.5,7.6,2013,Center,53.8,21.9,2.9
1,2.1,0.5,0,0.667,0.1,0.2,0.4,3.687894073,1.1,2.1,0.505,0.3,0.9,0.364,48,69.2525,27.27375,1.52295082,2.5,Wendell Carter,6.62,0.4,Texas,1.883665835,1.8,2019,Forward,51.5,1.2,1.2
0.7,1.4,0.463,0,0.33221216,0,0.2,0.4,0.7,0.7,1.4,0.463,0.3,0.7,0.39,87,1,6.3,0.5,1.6,James Anderson,4.3,0.1,BYU,0.2,1.3,2011,Forward,46.3,16.80326241,1.7
4,6.2,0.648,0,0.33221216,0,0.5,1.1,3.6,4,6.2,0.648,1.1,2.9,0.395,134,103,22.8,2.4,9.2,Arinze Onuaku,8.2,0.7,Syracuse,1.4,6,2014,Center,64.8,12.9,12.9
2.7,4.4,0.614,0,0.33221216,0,0.5,1.8,4.7,2.7,4.4,0.614,1.3,3.1,0.42,149,112,21.7,3.4,6.7,Joey Dorsey,4.83,1.1,Memphis,1.3,8.1,2009,Forward,61.4,23.8,23.8
4.6,8.9,0.513,0.4,0.356,1.2,2,1,5.3,5,10.1,0.495,2,4.7,0.422,38,38,31.2,2.7,12.4,Aaron Gordon,9.04,0.9,Arizona,1.4,8,2015,Forward,51.6,20.4,5.4
0.6,1.5,0.416,0,0,0.1,1,0.1,3.687894073,0.6,1.5,0.39,0.2,0.5,0.423,53,69.2525,27.27375,1.52295082,1.4,Vince Edwards,5.647638522,0.3,Western Kentucky,1.883665835,1,2019,Guard,45.4,16.80326241,10.29525547
3.2,5.2,0.617,0,0.33221216,0,0.4,1.3,4.1,3.2,5.2,0.617,1.5,3.4,0.437,35,21,20.1,1.9,7.9,DeAndre Jordan,7.46,0.2,Texas A&M,1.6,6,2009,Center,61.7,4.4,4.4
3.1,5.5,0.571,0,0.33221216,0,0.6,2,3.5,3.1,5.5,0.571,1,2.2,0.443,32,32,23.4,2.8,7.2,Steven Adams,5.63,0.7,Pitt,1.1,6.3,2014,Center,57.1,23.2,3.5
0.6,1.5,0.38,0.3,0.274,1.2,0.5,0.1,3.687894073,0.9,2.7,0.333,0.3,0.6,0.455,70,69.2525,27.27375,1.52295082,2.4,Tony Mitchell,-10.52,0.2,North Carolina A&T,1.883665835,1.5,2014,Forward,39.3,-0.1,-0.1
3.7,6.2,0.602,0,0.33221216,0,0.4,1.2,3.2,3.7,6.2,0.602,1.5,3.2,0.47,114,75,20.4,1.8,9,Bruce Brown,-10.69,0.2,Hampton,1.8,5,2019,Center,60.2,13.8,13.8
0.7,1.2,0.54,0,0,0,0.4,0.3,1.2,0.7,1.2,0.529,0.4,0.9,0.474,41,0,16.3,0.7,1.8,Ryan Kelly,-2.08,0.2,Eastern Illinois,0.6,1.9,2014,Forward,52.9,0.6,0.6
4.3,8.5,0.505,0,0.208,0.2,1,2.5,5.7,4.4,8.8,0.497,1.6,3.2,0.484,109,82,23.8,2.5,10.3,John Henson,9.01,0.6,UNC,1.5,8.1,2013,Forward,50,23.3,10.7
4.1,6.4,0.633,0,0.33221216,0,1,2.9,4.6,4.1,6.4,0.633,2.1,4.2,0.496,65,50,25.3,2.6,10.2,Sim Bhullar,-0.94,0.1,New Mexico State,1.6,7.2,2015,Center,63.3,25,7.7
5,9.3,0.541,0.1,0.333,0.4,5,0.9,6.8,5.1,9.6,0.534,3,6,0.498,34,33,31.5,2.5,13.4,Royce White,7.32,1.2,Iowa State,3.8,9.3,2014,Forward,54,22.8,4.1
1.7,3,0.577,0,0.33221216,0,0.3,0.7,2.3,1.7,3,0.577,0.5,0.9,0.5,26,6,11.5,1.6,3.9,Harry Giles,10.91,0.3,Duke,0.7,3.8,2019,Forward,57.7,19.8,1.2
0,0.3,0,0.1,0.5,0.3,0.1,0,0.1,0.1,0.6,0.25,0.1,0.1,0.5,14,0,27.27375,0.1,0.5,Johnathan Williams,8.25,0.1,Charlotte,0.4,0.1,2019,Guard,37.5,0,0
4.1,7.1,0.574,0,0.33221216,0,0.5,1.7,4.2,4.1,7.1,0.574,2,4.1,0.5,67,54,24.7,2.1,10.2,Willie Reed,1.77,0.5,Saint Louis,1.4,6.3,2016,Forward,57.4,8.1,8.1
3.8,7.3,0.518,0,0.33221216,0,0.2,1.3,5,3.8,7.3,0.518,1.7,3.3,0.505,62,60,29.7,3.3,9.2,Alex Stepheson,5.647638522,0.3,USC,1.6,8.3,2016,Forward,52,16.80326241,9.3
3.3,5.6,0.593,0,0.33221216,0,0.9,2.2,3.9,3.3,5.6,0.593,1.4,2.8,0.508,105,70,24.5,2.4,8,Willie Cauley-Stein,8.12,1.1,Kentucky,1.2,6.2,2016,Forward,59.3,23.3,12.8
0.5,1,0.529,0,0.33221216,0,0.1,0.3,0.8,0.5,1,0.529,0.6,1.2,0.508,52,8,8.8,0.7,1.6,Wesley Johnson,-3.91,0.2,Charleston Southern,0.3,1.5,2011,Forward,52.9,10,0.9
7.3,11.1,0.664,0,0.33221216,0,1.3,1.4,4.9,7.3,11.1,0.664,2.6,5.1,0.51,38,38,30.1,3.5,17.3,Jahlil Okafor,9.87,0.8,Duke,2.5,8.5,2016,Center,66.4,30.7,6.7
4.9,8.2,0.599,0,0.33221216,0,0.8,0.8,3,4.9,8.2,0.599,1.3,2.6,0.511,71,69,24.8,2.4,11.1,Vernon Macklin,5.647638522,0.5,Florida,1.5,5.5,2012,Forward,61,16.80326241,10
2.5,4.3,0.568,0,0.33221216,0,0.3,1.1,2.3,2.5,4.3,0.568,1.2,2.4,0.512,135,65,16.5,1.5,6.1,Sasha Kaun,8.38,0.4,Kansas,0.8,3.9,2016,Center,56.8,11.8,11.8
3.5,5.9,0.592,0,0,0,0.8,0.7,4,3.5,5.9,0.588,0.8,1.6,0.513,47,12,20.6,2.6,7.8,Mitch McGary,9.85,1.2,Michigan,1.3,6.6,2015,Forward,58.8,25.2,4.9
3.3,5.9,0.563,0.2,0.356,0.7,0.3,1.8,3,3.5,6.5,0.542,1.4,2.7,0.514,66,31,18.7,1.7,8.7,JaVale McGee,0.49,0.5,Nevada,1.6,4.8,2009,Forward,56,5.6,5.6
1.9,3,0.651,0.1,0.133,0.5,0.4,1.1,2,2,3.5,0.574,1.1,2.2,0.516,29,6,15.1,0.8,5.2,Kostas Antetokounmpo,2.7,0.2,Dayton,1.3,2.9,2019,Forward,58.4,13.7,0.7
5.5,8,0.683,0.2,0.533,0.4,1.2,1.4,4.5,5.7,8.5,0.676,1.3,2.5,0.517,35,34,25.3,1.7,12.9,Justin Patton,8.95,0.9,Creighton,1.7,6.2,2018,Center,68.9,25.2,4.3
1.7,2.9,0.591,0,0,0,0.3,2.4,2.1,1.7,2.9,0.589,0.6,1.2,0.519,132,106,19.5,1.2,4,Steven Hill,6.31,0.7,Arkansas,1,3.3,2009,Center,58.9,12.2,12.2
2.1,3.3,0.652,0.5,0.365,1.5,0.8,0.9,2.1,2.7,4.8,0.563,0.9,1.8,0.522,50,10,17.4,1.4,6.8,OG Anunoby,7.53,1,Indiana,1.1,3.5,2018,Forward,62,21.8,3.6
1.1,2.4,0.455,0,0.1,0.2,0.4,0.1,3.687894073,1.1,2.7,0.426,0.5,1,0.522,46,69.2525,27.27375,1.52295082,2.8,Reggie Bullock,-9.3,0.6,Morgan State,1.883665835,2,2014,Forward,43,0.2,0.2
5.7,10.6,0.535,0,0,0.3,1.7,1.8,5,5.7,10.8,0.523,2.8,5.4,0.523,12,10,24.9,1.8,14.2,Walter Sharpe,5.647638522,1.2,Alabama-Birmingham,2.8,6.8,2009,Forward,53.4,3,3
1.3,2.3,0.539,0,0,0.1,0.4,1.4,2.1,1.3,2.4,0.527,0.9,1.7,0.524,38,0,13.2,1.2,3.4,Daniel Orton,6.82,0.6,Kentucky,1,3.3,2012,Forward,52.7,1.7,1.7
4.1,6.9,0.59,0,0.33221216,0,1.6,4.4,6.8,4.1,6.9,0.59,2.3,4.3,0.529,24,24,31.9,2.7,10.5,Nerlens Noel,5.78,2.1,Kentucky,1.9,9.5,2015,Forward,59,27.3,3.9
2.6,4.7,0.546,0.1,0.333,0.3,1.3,2.1,6.2,2.7,5,0.535,1.8,3.3,0.531,89,58,25,2.4,7.2,Eric Moreland,4.64,0.8,Oregon State,1.8,8.6,2015,Forward,54.4,19.4,6.8
