,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
0,Jaylen Adams,St. Bonaventure,110,0.42700000000000005,0.39399999999999996,0.838,3.4,5.4,1.5,0.2,2.9,17.4
1,Deng Adel,Louisville,89,0.43799999999999994,0.348,0.7759999999999999,4.1,2.0,0.5,0.3,1.7,11.2
2,DeVaughn Akoon-Purcell,Illinois State,60,0.428,0.301,0.7390000000000001,5.3,1.6,1.0,0.3,2.3,13.5
3,Rawle Alkins,Arizona,60,0.45,0.365,0.7290000000000001,4.9,2.2,1.0,0.6,2.1,11.8
4,Grayson Allen,Duke,142,0.43,0.38,0.8340000000000001,3.2,3.0,1.0,0.1,1.7,14.1
5,Kostas Antetokounmpo,Dayton,29,0.574,0.133,0.516,2.9,0.4,0.2,1.1,1.3,5.2
6,Deandre Ayton,Arizona,35,0.612,0.34299999999999997,0.733,11.6,1.6,0.6,1.9,2.0,20.1
7,Mohamed Bamba,Texas,30,0.541,0.275,0.6809999999999999,10.5,0.5,0.8,3.7,1.5,12.9
8,Keita Bates-Diop,Ohio State,109,0.47200000000000003,0.35200000000000004,0.7759999999999999,5.7,1.1,0.6,1.2,1.2,11.7
9,Jaron Blossomgame,Clemson,128,0.488,0.316,0.7240000000000001,6.5,1.1,0.6,0.7,1.5,13.5
10,Jonah Bolden,UCLA,31,0.415,0.25,0.733,4.8,1.1,0.7,0.9,0.8,4.6
11,Mikal Bridges,Villanova,116,0.525,0.4,0.845,4.3,1.6,1.4,0.9,1.1,11.3
12,Miles Bridges,Michigan State,62,0.47,0.375,0.7759999999999999,7.6,2.4,0.6,1.1,2.1,17.0
13,Isaiah Briscoe,Kentucky,70,0.455,0.22899999999999998,0.555,5.4,3.7,0.9,0.2,2.2,10.9
14,Ryan Broekhoff,Valparaiso,134,0.46399999999999997,0.408,0.818,6.3,1.8,1.0,0.7,1.4,11.9
15,Bruce Brown,Hampton,114,0.602,0.333595588235294,0.47,5.0,0.4,0.2,1.2,1.8,9.0
16,Troy Brown,Providence,118,0.48,0.522,0.688,4.2,0.3,0.3,0.5,1.8830790568654632,5.9
17,Jalen Brunson,Villanova,116,0.51,0.39299999999999996,0.82,2.5,3.7,0.8,0.0,1.9,14.4
18,Deonte Burton,Nevada,130,0.439,0.337,0.7509999999999999,2.9,4.0,1.3,0.4,2.2,16.2
19,Jevon Carter,West Virginia,144,0.40700000000000003,0.355,0.7979999999999999,3.7,3.9,2.3,0.2,1.8,12.2
20,Wendell Carter,Texas,48,0.505,0.667,0.364,1.8,0.2,0.4,0.4,1.8830790568654632,2.5
21,Troy Caupain,Cincinnati,137,0.397,0.33799999999999997,0.762,3.6,3.8,1.1,0.2,1.6,9.6
22,Joe Chealey,College of Charleston,129,0.40399999999999997,0.34700000000000003,0.805,3.5,3.1,0.9,0.1,1.9,14.2
23,Chris Chiozza,Florida,139,0.391,0.327,0.747,3.2,4.1,1.4,0.1,1.6,7.4
24,Gary Clark,Wake Forest,109,0.451,0.434,0.752,1.1,0.7,0.6,0.1,0.8,5.1
25,Bonzie Colson,Notre Dame,125,0.528,0.35,0.772,7.2,1.0,1.0,1.2,1.0,13.1
26,Tyler Davis,Dartmouth,43,0.29600000000000004,0.231,0.629,0.6,0.2,0.2,0.1,0.3,1.4
27,Marcus Derrickson,Georgetown,89,0.45899999999999996,0.397,0.856,5.6,1.4,0.5,0.6,1.7,10.3
28,Hamidou Diallo,Kentucky,37,0.428,0.33799999999999997,0.616,3.6,1.2,0.8,0.4,1.4,10.0
29,Donte DiVincenzo,Villanova,85,0.469,0.37799999999999995,0.705,4.0,2.4,0.9,0.2,1.6,10.2
30,Trevon Duval,Duke,37,0.428,0.29,0.596,2.0,5.6,1.5,0.1,2.8,10.3
31,Vince Edwards,Western Kentucky,53,0.39,0.0,0.423,1.0,1.0,0.3,0.1,1.8830790568654632,1.4
32,Drew Eubanks,Oregon State,96,0.598,0.333595588235294,0.693,6.6,0.9,0.5,1.7,2.0,11.7
33,Jacob Evans,Cincinnati,105,0.429,0.377,0.755,4.3,2.5,1.1,0.9,1.3,11.7
34,Melvin Frazier,Tulane,94,0.48100000000000004,0.312,0.653,4.4,1.7,1.6,0.5,2.0,10.6
35,Billy Garrett,DePaul,125,0.386,0.32299999999999995,0.841,2.7,3.5,0.9,0.2,2.6,13.1
36,Harry Giles,Duke,26,0.5770000000000001,0.333595588235294,0.5,3.8,0.3,0.3,0.7,0.7,3.9
37,Shai Gilgeous-Alexander,Kentucky,37,0.485,0.40399999999999997,0.8170000000000001,4.1,5.1,1.6,0.5,2.7,14.4
